dose	type	score
2.465361775	B	0.883615854
2.262363062	B	1.821948743
1.075285054	A	0.866968225
1.847447889	A	0.169825078
2.741160731	A	1.896083311
2.836409905	A	1.060696055
2.082939587	A	1.249086333
0.819942923	B	1.164946508
2.19013721	B	1.083290622
3.548395107	B	3.773439427
3.202397112	B	2.535769271
2.208382048	B	1.521009709
3.434060308	A	3.49785206
3.188005733	A	2.912621121
2.535962871	A	0.634164708
1.491671748	B	1.115664916
2.25146522	A	1.492998041
3.372136866	B	4
2.929594129	B	2.511822552
1.850304968	A	1.190931097
0.261328766	B	1.145232248
1.771749666	A	0.854743797
1.181417583	B	1.605807581
1.759060174	A	0.512491863
1.574456778	B	1.051621548
2.344854598	B	1.985058927
2.192835074	B	1.031524213
0.59287515	B	1.05593931
2.368669538	A	0.431731143
3.415181945	B	3.501333566
2.631541564	A	1.079615108
1.066672026	B	1.548191262
2.808702833	A	2.018366476
2.122071595	B	1.189034414
1.795052616	B	0.691239631
3.533167004	A	4
1.684070724	B	1.395089418
1.617953069	A	0.418444938
3.281089507	A	3.094124497
1.478963618	A	0.311341651
2.417800269	A	1.131315899
2.679140757	B	1.241851528
2.145406923	A	0.289404193
1.769001021	A	0.40491329
3.101843241	A	2.554964493
2.045978057	B	1.368545582
2.112059039	A	0.319448369
2.952434869	A	2.37214569
3.232957989	A	2.269443619
1.54440366	A	0.798084698
2.979512597	B	1.927418329
1.800721351	B	1.67933598
2.737603093	A	2.040634351
1.209021135	B	1.010180504
1.990439329	B	1.633000829
1.61629295	A	0.804102615
2.786731248	B	2.110875767
3.512992	A	3.203572391
3.182306262	A	2.523485619
1.965406987	A	0.959587477
3.009360367	B	1.997168643
1.200295892	A	0.810701883
2.827537817	B	2.329516021
1.016188352	A	0.343589782
1.398170099	B	1.111107409
2.228112054	B	1.612421748
0.956679368	A	0.450891244
3.619321886	A	3.430860096
0.966788583	A	0.893180357
1.394976962	A	0.719038358
3.039443659	A	2.37567753
2.223954095	A	0.718859902
3.159509881	A	2.19560787
3.163216438	B	2.759095746
2.886857469	A	1.935938016
2.605446226	A	1.127782966
3.106379743	B	2.533892708
1.26267053	B	0.999125474
2.37265977	B	1.94210511
2.030260929	A	0.145432243
2.255133261	B	1.575985011
2.516160386	B	2.043684102
3.601963922	B	4
3.041572951	A	1.365284312
1.026970496	A	0.37835742
0.839938359	A	0.701201035
3.339541504	A	2.762502408
2.59478356	A	1.541589416
3.673643994	A	3.843554224
2.86599101	A	1.52932213
1.40667224	A	0.931817217
3.15818957	B	2.63896588
1.813402589	A	0.658430401
3.009790269	B	2.32610801
3.10760229	B	2.084229095
0.788564747	A	0.256066699
3.474783581	B	4
3.574569218	A	3.267160867
1.166461001	A	0.304370403
3.575483832	B	3.674888667
1.982481077	B	1.094772424
2.130855395	A	0.259288858
3.370908751	A	2.709668028
2.523760328	A	0.81161339
3.486539209	B	4
3.188501811	B	3.362597057
3.397534571	A	3.625580655
1.965249997	A	0.91561377
2.649497382	A	1.753731743
2.41487586	B	1.04365432
1.251035304	A	1.175593228
3.070296841	B	2.852402446
1.531811121	B	1.325538293
2.695373612	B	2.027160476
1.383992811	A	0.878678528
2.082633357	A	0.740762084
1.239620751	B	1.019259211
3.080051495	A	2.412743722
0.449799987	B	1.536406972
1.764783431	A	0.487844611
1.986560125	A	0.466663572
1.46354641	A	0.974867638
2.941947317	B	1.840884352
3.172433105	A	1.96695934
3.113914336	B	2.599873711
3.401402041	B	4
0.771283425	B	1.729659407
1.241430212	B	1.604803444
0.483363115	B	1.68442459
2.819087943	B	1.804224132
3.512494938	A	3.158654302
2.977265473	A	1.437762788
2.54859905	B	1.063168476
2.533850373	B	1.476174175
2.055511397	A	0.730791023
2.19674812	B	0.712449881
3.60172035	B	4
1.581888364	A	0.490826739
1.579937262	A	0.202451305
3.055445773	A	2.128699173
3.596621653	A	4
1.247017933	B	1.451958732
0.86661485	A	0.456975095
3.099781798	A	1.722539031
1.897207119	A	1.092117765
2.96767013	A	1.851745951
1.747212538	A	0.955749631
2.00770629	A	1.104041309
1.769296308	A	0.404508902
3.405756799	A	2.665429399
0.978442275	B	1.739982684
2.630379497	A	1.848913932
1.011468422	A	0.605498373
1.309215706	B	1.082419345
2.031970277	A	0.833492885
2.590549892	A	1.581280653
3.508639935	A	4
1.875821702	A	0.771097395
2.674904925	B	1.28848919
2.13780254	B	1.345405847
3.406444735	A	3.574572601
2.995437979	A	2.310633929
2.872128698	A	1.12739603
3.090115639	A	2.418372138
1.086309461	A	0.884675041
2.248109498	A	1.359295378
3.065918281	B	2.591022869
2.14133085	A	0.498566164
2.727861217	A	1.292950513
3.137932941	B	2.676610646
2.492977042	B	2.054965559
2.559644966	A	1.448373504
3.441947479	A	3.387403861
1.765464243	B	0.678576741
1.169558358	B	0.864374029
0.977917854	B	1.675972324
2.133141538	B	1.889312986
0.742956112	A	0.136968592
1.096100948	B	1.842262321
1.344521927	B	1.670466425
3.662129381	A	3.977807125
2.777492089	A	1.147889135
3.318662589	A	2.407949564
1.365798582	A	1.003932243
2.942437196	B	2.129196135
3.499243161	B	3.318092537
1.171965654	A	0.757416491
2.252948876	B	1.960390568
1.151531962	B	1.802953014
2.588495889	A	0.773261944
2.015115276	A	0.327161878
0.623903015	A	0.579258142
2.799159563	A	1.954505157
1.098164163	A	0.282420799
3.154303922	B	2.770113404
2.035724668	B	1.295614207
2.000570424	A	0.85054847
1.405459303	A	0.677625275
2.117390888	A	0.210123545
2.16379398	A	1.238958341
2.87904473	B	2.656310099
2.139008509	B	0.828558262
2.389979296	B	1.480684327
3.180131025	A	2.870642794
2.543927224	A	1.63043372
3.007226303	A	2.095194348
2.167792109	A	1.170303108
1.17988406	B	1.192224492
2.19746721	B	1.84010283
2.464604019	A	1.563750199
2.823688331	A	1.534477607
3.242624162	B	3.23291469
1.605938187	B	1.213724
1.318559613	A	1.008443112
1.105305646	A	0.220588981
3.191039333	A	2.629216558
3.30869781	A	2.588349233
2.84177142	A	2.124989554
2.955734301	A	2.022186669
2.324065478	A	1.210622656
2.539200251	A	0.74218376
2.08873569	A	1.285973025
2.08696038	A	0.888759019
3.475186325	A	3.741086455
3.524508197	B	3.828010381
3.37839682	A	2.467857692
0.985821737	A	0.61750158
1.540540028	A	0.896523912
1.766267773	A	0.428931893
3.509781641	B	4
1.754202452	A	0.60472839
1.312987339	A	0.283842716
1.433711985	A	1.047519583
2.85689293	A	2.128970338
2.924356046	B	2.786937045
0.116736059	B	0.881370156
2.462871069	A	1.150221654
3.426969127	B	3.756016917
3.252963869	A	2.521267353
2.566216493	A	1.612936625
0.01	B	0.326581738
2.47763808	B	1.376423964
2.110868906	A	1.089244041
2.182839442	A	0.782677408
2.090763143	A	0.580234338
1.965460806	A	0.351653166
2.669351072	B	2.368626695
1.729407402	A	1.079130514
1.979561704	A	1.078641555
3.109539057	B	3.044285003
2.774125746	B	1.382808837
2.510479086	A	0.415694536
3.627025808	A	4
2.488004081	A	0.931335352
2.519811381	A	1.168862204
2.18929101	A	0.662826821
2.713422015	B	1.459658905
2.639695239	A	1.839718372
3.038932227	B	2.841060936
1.616641077	A	0.629673623
2.839188886	B	2.212904817
2.831483215	B	1.636514336
3.49766027	A	3.810117635
3.602413089	A	3.791018611
2.192147539	A	1.452616575
3.72029987	A	4
3.037025071	A	2.040342648
1.815930153	B	1.751243383
3.238965142	B	2.798275131
2.572000174	A	1.53088442
2.769370576	A	1.822707183
2.001032395	B	1.835569581
3.213459539	A	2.670534981
1.043112582	B	1.665308716
1.270568825	A	0.740703774
2.958212074	A	1.75424533
2.378846196	A	0.733504274
2.242830538	A	0.941004421
3.203629313	A	2.046850981
3.501960796	A	3.631605493
3.4045605	A	3.795433351
3.280494662	A	2.362264336
2.277340034	B	1.379557592
2.042181961	A	0.531072261
2.742217178	B	2.054320728
2.214741097	B	1.491677187
1.998537373	B	1.151692609
2.468926401	B	1.371989853
2.491082902	B	1.606510741
2.92733677	B	2.626410871
3.082235459	A	1.489738761
0.445873211	A	0.833923393
1.755960101	A	0.19386627
2.315970415	B	1.300317415
2.102363821	B	1.372485881
2.39420278	A	0.78221965
2.542739525	A	1.347199061
2.713022658	A	0.747019701
3.00140908	B	2.284233045
2.731748986	A	0.965813124
1.987822677	A	1.051479428
3.070093626	A	2.288589668
1.722620513	A	1.244196056
1.829942194	B	0.68920765
2.831156662	A	1.022573943
1.418048238	B	0.841674627
1.559827639	A	0.585714619
0.841530163	B	1.950799965
2.874862217	A	1.471036798
3.47830572	A	2.976342784
3.100489857	A	2.390358481
3.173024958	A	2.945010395
1.046958468	A	0.896715457
1.158820441	B	1.388054776
1.478200127	B	1.814441156
0.709929847	B	1.727393853
3.278312962	B	3.363470531
1.687662496	B	0.898090605
2.023356724	A	1.338390927
2.440965668	A	1.067005078
2.846977333	B	1.657895719
2.080937802	B	1.666758134
2.017471769	A	1.164036522
2.691312731	A	1.89374781
2.760885412	B	2.32190577
1.88283053	B	0.623027297
0.960919446	A	0.191232874
2.861914197	B	2.326607328
1.918551922	A	0.395095496
2.096144987	B	1.148274895
3.177237542	A	2.929011848
1.889991439	A	0.60054834
0.996855068	A	0.354851108
1.394619176	A	1.111961093
1.763776986	A	0.665079927
1.833674426	A	0.309359737
2.301205071	A	0.538076884
1.807191884	A	0.821054288
2.035439559	A	0.564673183
2.789407483	A	1.873619523
1.31336885	B	1.608562611
2.512685907	B	1.420635991
2.48461537	B	1.233551349
3.367680352	B	3.792910383
1.846788673	B	1.406931264
3.691062063	A	3.801014056
2.367158587	A	1.2027768
2.852790535	B	2.426961229
1.7082565	B	1.131592596
0.496569903	B	1.463645175
1.505617789	A	1.308620616
1.822376214	A	0.987029132
2.313745949	A	1.46002893
2.429394682	B	1.2045337
1.986986322	B	1.42422018
2.081776381	A	0.314621646
2.821149385	A	1.21231658
1.212537678	A	0.551547619
2.921509026	A	1.764732176
3.679673061	A	4
1.853486948	B	1.085880217
3.198878044	B	2.612000685
3.058661111	A	2.689465876
2.217958239	B	1.801133393
3.676131652	A	3.711670294
2.322924075	A	0.373107254
3.380518058	A	3.058328567
2.46611245	A	0.859738278
3.277467714	A	2.196171075
2.142120936	A	0.791788146
2.387334327	B	1.094754987
3.454012302	B	3.878704422
1.068820518	B	1.358046292
1.442412877	B	1.727327746
2.423335299	B	1.289020473
1.687252353	A	0.906397994
3.453408262	A	3.897196072
2.720830521	A	1.693330316
2.36623324	A	0.634718796
1.543063109	A	1.051062497
2.919760707	A	1.823871072
2.481361698	A	0.743372826
1.154030576	A	0.941358724
3.610583109	A	3.667021854
0.923231007	B	1.291661901
1.739086374	A	0.888347785
2.159182722	A	0.437637743
2.103536834	A	0.502752004
2.40730472	B	0.892392153
3.333581592	A	2.564229283
2.086667204	A	0.693538575
1.717661334	A	0.947911716
2.360577014	A	0.628610653
3.55297862	A	3.501159416
2.427437767	A	1.203460604
0.953155426	A	0.310679742
1.702921182	A	0.858001591
3.511810585	A	3.379137235
2.414533873	A	0.919855318
